group,track_id,germination_target,oof_probability,oof_prediction,correct,confidence,error_type
pg1_10,0,1,0.9999405918824741,1,True,0.9999405918824741,CORRECT
pg1_10,1,0,0.0032826878506931286,0,True,0.9967173121493069,CORRECT
pg1_10,2,1,0.3797253334372702,0,False,0.6202746665627298,FALSE_NEGATIVE
pg1_10,3,1,0.9999981734492275,1,True,0.9999981734492275,CORRECT
pg1_10,4,1,0.999999269793448,1,True,0.999999269793448,CORRECT
pg1_10,5,1,0.999997674118727,1,True,0.999997674118727,CORRECT
pg1_10,6,1,0.9999926509878263,1,True,0.9999926509878263,CORRECT
pg1_10,7,0,0.00014430993578937287,0,True,0.9998556900642106,CORRECT
pg1_10,8,1,0.9999959138398454,1,True,0.9999959138398454,CORRECT
pg1_10,9,1,0.9999613833501727,1,True,0.9999613833501727,CORRECT
pg1_11,0,0,0.8403243462442004,1,False,0.8403243462442004,FALSE_POSITIVE
pg1_11,1,1,0.9999968789652045,1,True,0.9999968789652045,CORRECT
pg1_11,2,1,0.019256877763987,0,False,0.980743122236013,FALSE_NEGATIVE
pg1_11,3,1,0.9999962786734568,1,True,0.9999962786734568,CORRECT
pg1_11,4,1,0.9999977913479344,1,True,0.9999977913479344,CORRECT
pg1_11,5,1,0.9999975161382556,1,True,0.9999975161382556,CORRECT
pg1_11,6,1,0.9999992101496961,1,True,0.9999992101496961,CORRECT
pg1_11,7,1,0.9996622799082407,1,True,0.9996622799082407,CORRECT
pg1_11,8,1,0.9999983859346344,1,True,0.9999983859346344,CORRECT
pg1_11,9,1,0.9999982075670687,1,True,0.9999982075670687,CORRECT
pg1_12,0,1,0.9999899919551679,1,True,0.9999899919551679,CORRECT
pg1_12,1,1,0.999984462109029,1,True,0.999984462109029,CORRECT
pg1_12,2,1,0.9999908918867169,1,True,0.9999908918867169,CORRECT
pg1_12,3,1,0.9999180871830664,1,True,0.9999180871830664,CORRECT
pg1_12,4,1,0.9999876939457386,1,True,0.9999876939457386,CORRECT
pg1_12,5,1,0.9999959149669346,1,True,0.9999959149669346,CORRECT
pg1_12,6,1,0.9999962701662408,1,True,0.9999962701662408,CORRECT
