group,track_id,germination_target,oof_probability,oof_prediction,correct,confidence,error_type
pg6_1,0,1,0.00042053492949203653,0,False,0.999579465070508,FALSE_NEGATIVE
pg4_5,0,1,0.0015840408964424154,0,False,0.9984159591035576,FALSE_NEGATIVE
pg6_11,5,1,0.006160501080908285,0,False,0.9938394989190917,FALSE_NEGATIVE
pg1_7,2,1,0.006499602188242425,0,False,0.9935003978117576,FALSE_NEGATIVE
pg5_8,0,1,0.007663984544150985,0,False,0.992336015455849,FALSE_NEGATIVE
pg7_2,1,1,0.008165188661674443,0,False,0.9918348113383255,FALSE_NEGATIVE
pg6_7,1,1,0.008624108167105843,0,False,0.9913758918328942,FALSE_NEGATIVE
pg7_8,9,0,0.9872456311943865,1,False,0.9872456311943865,FALSE_POSITIVE
pg7_8,8,1,0.01426518122029017,0,False,0.9857348187797098,FALSE_NEGATIVE
pg5_10,0,0,0.9846463738914408,1,False,0.9846463738914408,FALSE_POSITIVE
pg2_5,6,0,0.984411322233363,1,False,0.984411322233363,FALSE_POSITIVE
pg6_3,0,0,0.9831277056075096,1,False,0.9831277056075096,FALSE_POSITIVE
pg1_11,2,1,0.019256877763987,0,False,0.980743122236013,FALSE_NEGATIVE
pg1_9,3,1,0.021479846871660113,0,False,0.9785201531283398,FALSE_NEGATIVE
pg2_12,4,0,0.9699973444959717,1,False,0.9699973444959717,FALSE_POSITIVE
pg2_2,0,0,0.9683275837568533,1,False,0.9683275837568533,FALSE_POSITIVE
pg3_10,1,0,0.964070491319209,1,False,0.964070491319209,FALSE_POSITIVE
pg3_3,9,0,0.9639860829992585,1,False,0.9639860829992585,FALSE_POSITIVE
pg2_12,5,0,0.9612327835563701,1,False,0.9612327835563701,FALSE_POSITIVE
pg2_7,0,0,0.9593946323644422,1,False,0.9593946323644422,FALSE_POSITIVE
pg7_8,1,0,0.9581872034057757,1,False,0.9581872034057757,FALSE_POSITIVE
pg6_11,7,1,0.05125583642637561,0,False,0.9487441635736243,FALSE_NEGATIVE
pg7_3,1,1,0.07376396600123027,0,False,0.9262360339987697,FALSE_NEGATIVE
pg2_11,3,1,0.07541583655748091,0,False,0.9245841634425191,FALSE_NEGATIVE
pg2_9,4,1,0.08703784190973025,0,False,0.9129621580902697,FALSE_NEGATIVE
pg5_10,1,0,0.9110558050825982,1,False,0.9110558050825982,FALSE_POSITIVE
pg3_12,0,0,0.8891081482060104,1,False,0.8891081482060104,FALSE_POSITIVE
pg1_11,0,0,0.8403243462442004,1,False,0.8403243462442004,FALSE_POSITIVE
pg7_7,3,1,0.16312330591434304,0,False,0.8368766940856569,FALSE_NEGATIVE
pg1_4,6,1,0.18467639942394615,0,False,0.8153236005760538,FALSE_NEGATIVE
pg2_9,0,0,0.7975294749529523,1,False,0.7975294749529523,FALSE_POSITIVE
pg2_12,1,0,0.7683836127277917,1,False,0.7683836127277917,FALSE_POSITIVE
pg5_6,2,0,0.6243178827109791,1,False,0.6243178827109791,FALSE_POSITIVE
pg1_10,2,1,0.3797253334372702,0,False,0.6202746665627298,FALSE_NEGATIVE
pg3_7,1,0,0.524876732615377,1,False,0.524876732615377,FALSE_POSITIVE
