group,frame,image,object_index,class,xmin,ymin,xmax,ymax,cx,cy,box_w,box_h,image_width,image_height,track_id,match_cost,center_distance,iou,matched
zm1_1,1,zm1_1_img001.jpg,1,zm_im,337,125,397,201,367.0,163.0,60,76,624,624,1,0.0,0.0,1.0,True
zm1_1,2,zm1_1_img002.jpg,1,zm_im,337,125,398,201,367.5,163.0,61,76,624,624,1,0.006258538251366126,0.0008012820512820513,0.9836065573770492,True
zm1_1,3,zm1_1_img003.jpg,1,zm_im,337,125,398,201,367.5,163.0,61,76,624,624,1,0.0,0.0,1.0,True
zm1_1,4,zm1_1_img004.jpg,1,zm_im,336,125,398,200,367.0,162.5,62,75,624,624,1,0.010840581450808798,0.0011331839442092107,0.9711313946083634,True
zm1_1,5,zm1_1_img005.jpg,1,zm_im,336,125,398,200,367.0,162.5,62,75,624,624,1,0.0,0.0,1.0,True
zm1_1,6,zm1_1_img006.jpg,1,zm_im,336,124,399,200,367.5,162.0,63,76,624,624,1,0.010824288861981609,0.0011331839442092107,0.9711779448621554,True
zm1_1,7,zm1_1_img007.jpg,1,zm_im,336,124,399,200,367.5,162.0,63,76,624,624,1,0.0,0.0,1.0,True
zm1_1,8,zm1_1_img008.jpg,1,zm_im,336,124,399,200,367.5,162.0,63,76,624,624,1,0.0,0.0,1.0,True
zm1_1,9,zm1_1_img009.jpg,1,zm_im,336,124,399,199,367.5,161.5,63,75,624,624,1,0.005126096491228084,0.0008012820512820513,0.9868421052631579,True
zm1_1,10,zm1_1_img010.jpg,1,zm_im,336,124,399,199,367.5,161.5,63,75,624,624,1,0.0,0.0,1.0,True
zm1_1,11,zm1_1_img011.jpg,1,zm_im,335,123,400,199,367.5,161.0,65,76,624,624,1,0.015753626855600555,0.0008012820512820513,0.9564777327935222,True
zm1_1,12,zm1_1_img012.jpg,1,zm_im,335,123,400,199,367.5,161.0,65,76,624,624,1,0.0,0.0,1.0,True
zm1_1,13,zm1_1_img013.jpg,1,zm_im,335,123,400,199,367.5,161.0,65,76,624,624,1,0.0,0.0,1.0,True
zm1_1,14,zm1_1_img014.jpg,1,zm_im,335,123,400,198,367.5,160.5,65,75,624,624,1,0.005126096491228084,0.0008012820512820513,0.9868421052631579,True
zm1_1,15,zm1_1_img015.jpg,1,zm_im,335,123,400,198,367.5,160.5,65,75,624,624,1,0.0,0.0,1.0,True
zm1_1,16,zm1_1_img016.jpg,1,zm_im,335,123,400,198,367.5,160.5,65,75,624,624,1,0.0,0.0,1.0,True
zm1_1,17,zm1_1_img017.jpg,1,zm_im,335,123,400,198,367.5,160.5,65,75,624,624,1,0.0,0.0,1.0,True
zm1_1,18,zm1_1_img018.jpg,1,zm_im,335,123,400,198,367.5,160.5,65,75,624,624,1,0.0,0.0,1.0,True
zm1_1,19,zm1_1_img019.jpg,1,zm_im,335,123,400,198,367.5,160.5,65,75,624,624,1,0.0,0.0,1.0,True
zm1_1,20,zm1_1_img020.jpg,1,zm_im,335,123,400,198,367.5,160.5,65,75,624,624,1,0.0,0.0,1.0,True
