group,track_id,mean_movement,median_movement,max_movement,movement_std,std_center_x,std_center_y,range_center_x,range_center_y,max_center_x,max_center_y,mean_width,std_width,min_width,max_width,width_change,mean_height,std_height,min_height,max_height,height_change,mean_area,std_area,min_area,max_area,area_change,mean_iou,std_iou,min_iou,class_transition_count,pg_el_count,observed_pg_el,first_pg_el_frame,last_pg_el_frame,longest_pg_el_run,early_mean_width,early_mean_height,early_mean_area,early_pg_el_count,middle_mean_width,middle_mean_height,middle_mean_area,middle_pg_el_count,late_mean_width,late_mean_height,late_mean_area,late_pg_el_count,germination_target,final_label
pg1_10,0,0.1216965953788382,0.0,2.1213203435596424,0.3397032116517779,0.4110158140051458,0.9546803669499248,2.0,3.5,263.0,230.0,41.34020618556701,2.662789011227186,38.0,45.0,7.0,37.1958762886598,0.4898805925986276,36.0,38.0,1.0,1537.5154639175255,98.29202371411276,1368.0,1710.0,297.0,0.9929870065472898,0.0234172778942198,0.820572764465225,1,43,1,55,97,43,38.96875,37.125,1446.75,0,40.65625,37.46875,1523.40625,10,44.30303030303031,37.0,1639.2121212121212,33,1,GERMINATED
pg1_10,1,0.015625,0.0,0.5,0.086996318169219,0.0,0.38903014977553,0.0,1.5,330.5,269.0,41.0,0.0,41.0,41.0,0.0,31.082474226804123,0.2750858569922956,31.0,32.0,-1.0,1274.381443298969,11.27852013668412,1271.0,1312.0,-41.0,0.9990234375,0.0054372698855761,0.96875,0,0,0,0,0,0,41.0,31.25,1281.25,0,41.0,31.0,1271.0,0,41.0,31.0,1271.0,0,0,NON-GERMINATED
pg1_10,2,0.0723247370696493,0.0,2.23606797749979,0.2794681837725708,0.8430632594740272,0.4812898494943278,5.0,2.0,276.5,332.0,37.27835051546392,1.1098645597803525,36.0,41.0,4.0,36.50515463917526,1.741688429178465,31.0,38.0,-6.0,1359.0824742268042,35.313228765392786,1209.0,1406.0,-94.0,0.9947544106548464,0.0257033371057433,0.7633378932968536,1,52,1,46,97,52,36.75,37.3125,1371.1875,0,37.0,37.0,1369.0,19,38.06060606060606,35.24242424242424,1337.7272727272727,33,1,GERMINATED
pg1_10,3,0.609044876483964,0.5,3.1622776601683795,0.7404965710669876,11.508463571022135,2.836841047224645,44.0,10.0,198.5,209.5,60.95876288659794,28.45322351450636,38.0,141.0,102.0,45.54639175257732,10.57620419753577,38.0,88.0,49.0,3062.9278350515465,2443.0514646052275,1444.0,12408.0,10887.0,0.9753259754455031,0.0287440489353642,0.8513289036544851,1,82,1,16,97,82,39.65625,39.4375,1563.6875,17,47.0625,40.9375,1931.3125,32,95.0909090909091,55.93939393939394,5614.060606060606,33,1,GERMINATED
pg1_10,4,0.9256328316522624,0.8535533905932737,2.692582403567252,0.7637460491773956,11.83416920810238,10.911461668756903,32.5,36.5,384.5,138.0,59.83505154639175,30.249028411549084,34.0,112.0,66.0,62.30927835051546,36.84080011464829,36.0,151.0,115.0,4774.742268041237,5075.120091572564,1224.0,16240.0,13991.0,0.9616970731835132,0.0319973868917045,0.8704819277108434,1,73,1,25,97,73,34.84375,36.1875,1261.09375,8,43.8125,43.125,1941.59375,32,99.6060606060606,106.24242424242424,10929.212121212122,33,1,GERMINATED
pg1_10,5,0.4938977377153647,0.25,1.8027756377319943,0.5735692559284462,4.116165776980037,8.728248703668793,18.0,31.5,461.0,195.5,45.81443298969072,10.20847626069127,37.0,82.0,45.0,63.608247422680414,24.412079442392216,43.0,132.0,89.0,3153.01030927835,2134.839444431821,1591.0,10824.0,9233.0,0.9760964392231476,0.0255685243482119,0.9131884251233496,1,77,1,21,97,77,37.5625,44.40625,1668.84375,12,43.6875,53.21875,2339.84375,32,55.87878787878788,92.3030303030303,5380.727272727273,33,1,GERMINATED
pg1_10,6,1.0495111792467835,0.5,11.672617529928752,1.7365810619248458,8.789002925852937,4.996991336265186,32.5,23.0,461.5,296.0,50.08247422680412,19.55361126405633,37.0,108.0,64.0,81.11340206185567,52.71746835603237,39.0,216.0,175.0,4972.2474226804125,5550.396042395697,1521.0,23328.0,21524.0,0.9558599642421348,0.0587892436767162,0.6050903119868637,1,87,1,11,97,87,40.90625,41.84375,1710.75,22,39.25,53.125,2078.59375,32,69.48484848484848,146.33333333333334,10940.878787878788,33,1,GERMINATED
pg1_10,7,0.0281990289706932,0.0,1.0,0.1415561658792839,0.3205837485663136,0.3192548982928251,2.0,1.0,463.5,384.0,35.04123711340206,0.1988381600204732,35.0,36.0,0.0,35.98969072164948,0.1010098863003372,35.0,36.0,0.0,1261.1237113402062,8.050430906004074,1225.0,1296.0,0.0,0.9982719264403292,0.0087465659958005,0.9444444444444444,0,0,0,0,0,0,35.125,35.96875,1263.40625,0,35.0,36.0,1260.0,0,35.0,36.0,1260.0,0,0,NON-GERMINATED
pg1_10,8,1.4471862609157222,1.4142135623730951,5.830951894845301,1.325599647788415,29.218099032707983,12.027881927877132,95.5,33.0,412.0,453.5,100.75257731958764,81.98126903591373,30.0,276.0,246.0,64.78350515463917,29.193003964946744,33.0,112.0,75.0,8862.690721649484,9806.514934576851,990.0,29808.0,28818.0,0.9552256062371052,0.0614160652523618,0.6575963718820862,1,73,1,25,97,73,31.6875,36.59375,1163.71875,8,62.53125,54.0625,3678.8125,32,204.7878787878788,102.51515151515152,21355.15151515152,33,1,GERMINATED
pg1_10,9,0.7046255354505861,0.25,2.23606797749979,0.8170467274219847,17.543640074011005,1.4485728387659114,56.0,8.5,207.5,405.0,66.38144329896907,36.28536477542923,41.0,157.0,116.0,39.824742268041234,6.1894661250349925,34.0,56.0,21.0,2858.103092783505,2099.926996691488,1435.0,8792.0,7357.0,0.9756498731440316,0.0322765252456734,0.8439108061749572,1,46,1,52,97,46,42.71875,36.25,1548.5625,0,45.71875,35.28125,1612.78125,13,109.36363636363636,47.696969696969695,5335.545454545455,33,1,GERMINATED
pg1_11,0,0.015625,0.0,1.5,0.15229366163764,0.1515148294505059,0.0,1.5,0.0,222.5,253.5,34.96907216494845,0.3030296589010116,32.0,35.0,3.0,39.0,0.0,39.0,39.0,0.0,1363.7938144329896,11.818156697139456,1248.0,1365.0,117.0,0.9991071428571427,0.0087024949507222,0.9142857142857144,0,0,0,0,0,0,34.90625,39.0,1361.34375,0,35.0,39.0,1365.0,0,35.0,39.0,1365.0,0,0,NON-GERMINATED
pg1_11,1,0.1937160693059267,0.0,1.118033988749895,0.3086852514984501,1.566331920437831,1.6815504336724971,7.0,6.5,185.5,200.0,37.2680412371134,3.362974456366832,34.0,46.0,11.0,37.37113402061856,3.899033947570412,34.0,46.0,12.0,1405.59793814433,285.50507460396346,1190.0,2116.0,926.0,0.9888498184057144,0.018937111730449,0.9181890389197775,1,50,1,48,97,50,35.1875,34.46875,1212.84375,0,35.21875,35.25,1241.8125,17,41.27272727272727,42.24242424242424,1751.3333333333333,33,1,GERMINATED
pg1_11,2,0.0860064222706556,0.0,2.549509756796392,0.3025908601751464,0.4313296602365367,0.9409158110601762,1.0,5.5,446.5,182.0,32.96907216494845,0.1731222229252234,32.0,33.0,1.0,37.03092783505155,0.5459052492731433,34.0,38.0,-1.0,1220.9072164948454,20.859412804807747,1088.0,1254.0,4.0,0.9948769486547896,0.0186094562161857,0.8427773343974462,1,4,1,94,97,4,32.9375,37.34375,1230.03125,0,33.0,37.0,1221.0,0,32.96969696969697,36.75757575757576,1211.969696969697,4,1,GERMINATED
pg1_11,3,0.2859462981210276,0.0,2.23606797749979,0.3939719295299438,2.052193857318487,1.6984360088570836,10.0,7.0,470.5,293.5,35.4639175257732,2.6008002561864387,34.0,46.0,11.0,40.96907216494845,4.284841678672278,35.0,53.0,16.0,1462.0,262.37908358928814,1190.0,2392.0,1127.0,0.9834460844860828,0.0245294540136631,0.8435321456235476,1,76,1,22,97,76,34.0,36.09375,1227.1875,11,34.4375,41.0,1411.90625,32,37.87878787878788,45.66666666666666,1738.2727272727273,33,1,GERMINATED
pg1_11,4,0.4076826533871545,0.0,3.605551275463989,0.5686635098725278,4.81097692681314,1.879161163581206,16.0,6.0,335.0,213.0,42.29896907216495,13.554141109093894,34.0,94.0,60.0,48.64948453608248,6.553571839692329,40.0,62.0,22.0,2133.577319587629,1014.9864133472,1360.0,5828.0,4468.0,0.9776344150631416,0.0325087274778948,0.7761194029850746,1,77,1,21,97,77,34.0,41.84375,1422.6875,12,35.40625,47.53125,1683.09375,32,57.03030303030303,56.333333333333336,3259.757575757576,33,1,GERMINATED
pg1_11,5,0.3180503620307927,0.0,1.8027756377319943,0.4087458059463709,1.7118214451919158,3.7336884412239377,10.0,12.5,188.5,360.5,41.68041237113402,6.045440288643855,37.0,69.0,30.0,50.402061855670105,14.43910768712172,35.0,84.0,49.0,2172.721649484536,988.199933256424,1365.0,5796.0,4431.0,0.9832360162940608,0.022901102221335,0.8780487804878049,1,75,1,23,97,75,38.5625,37.34375,1439.59375,10,39.0625,44.5,1739.78125,32,47.24242424242424,68.78787878787878,3303.454545454545,33,1,GERMINATED
