file,stem,object_index,class,xmin,ymin,xmax,ymax,image_width,image_height,group,frame
pg1_10_img001.xml,pg1_10_img001,0,pg_im,243.0,210.0,281.0,246.0,624,624,pg1_10,1
pg1_10_img001.xml,pg1_10_img001,1,pg_im,310.0,253.0,351.0,285.0,624,624,pg1_10,1
pg1_10_img001.xml,pg1_10_img001,2,pg_im,258.0,311.0,295.0,349.0,624,624,pg1_10,1
pg1_10_img001.xml,pg1_10_img001,3,pg_im,179.0,180.0,218.0,219.0,624,624,pg1_10,1
pg1_10_img001.xml,pg1_10_img001,4,pg_im,336.0,119.0,371.0,155.0,624,624,pg1_10,1
pg1_10_img001.xml,pg1_10_img001,5,pg_im,432.0,174.0,469.0,217.0,624,624,pg1_10,1
pg1_10_img001.xml,pg1_10_img001,6,pg_im,439.0,275.0,483.0,316.0,624,624,pg1_10,1
pg1_10_img001.xml,pg1_10_img001,7,pg_im,446.0,366.0,481.0,402.0,624,624,pg1_10,1
pg1_10_img001.xml,pg1_10_img001,8,pg_im,309.0,405.0,339.0,438.0,624,624,pg1_10,1
pg1_10_img001.xml,pg1_10_img001,9,pg_im,186.0,379.0,227.0,414.0,624,624,pg1_10,1
pg1_10_img002.xml,pg1_10_img002,0,pg_im,243.0,212.0,282.0,248.0,624,624,pg1_10,2
pg1_10_img002.xml,pg1_10_img002,1,pg_im,310.0,253.0,351.0,285.0,624,624,pg1_10,2
pg1_10_img002.xml,pg1_10_img002,2,pg_im,257.0,311.0,294.0,349.0,624,624,pg1_10,2
pg1_10_img002.xml,pg1_10_img002,3,pg_im,179.0,180.0,218.0,219.0,624,624,pg1_10,2
pg1_10_img002.xml,pg1_10_img002,4,pg_im,335.0,120.0,370.0,156.0,624,624,pg1_10,2
pg1_10_img002.xml,pg1_10_img002,5,pg_im,432.0,172.0,469.0,216.0,624,624,pg1_10,2
pg1_10_img002.xml,pg1_10_img002,6,pg_im,439.0,275.0,483.0,316.0,624,624,pg1_10,2
pg1_10_img002.xml,pg1_10_img002,7,pg_im,445.0,366.0,480.0,402.0,624,624,pg1_10,2
pg1_10_img002.xml,pg1_10_img002,8,pg_im,309.0,405.0,339.0,439.0,624,624,pg1_10,2
pg1_10_img002.xml,pg1_10_img002,9,pg_im,186.0,379.0,227.0,415.0,624,624,pg1_10,2
pg1_10_img003.xml,pg1_10_img003,0,pg_im,243.0,212.0,282.0,248.0,624,624,pg1_10,3
pg1_10_img003.xml,pg1_10_img003,1,pg_im,310.0,253.0,351.0,285.0,624,624,pg1_10,3
pg1_10_img003.xml,pg1_10_img003,2,pg_im,257.0,311.0,294.0,349.0,624,624,pg1_10,3
pg1_10_img003.xml,pg1_10_img003,3,pg_im,179.0,180.0,218.0,219.0,624,624,pg1_10,3
pg1_10_img003.xml,pg1_10_img003,4,pg_im,335.0,120.0,370.0,156.0,624,624,pg1_10,3
