group,track_id,germination_target,final_label,germination_probability,predicted_target,predicted_label,correct,error_type,seed_key,median_movement,max_movement,movement_std,std_center_x,std_center_y,min_center_x,min_center_y,mean_height,max_width,max_height,height_change,width_growth_ratio,mean_area,max_area,area_growth_ratio,zm_el_count_75pct
zm1_1,6,0,NON-GERMINATED,0.5576491575754866,1,GERMINATED,False,FALSE_POSITIVE,zm1_1_6,0.0,0.0017917211358171,0.0003328591102476,0.000560879770671,0.0008858506384496,0.5240384615384616,0.5737179487179487,0.1286057692307692,0.1506410256410256,0.1298076923076923,-0.0016025641025641,1.0561797752808988,0.0191771578114727,0.0193463387573964,1.0431405187959493,0
zm1_1,8,0,NON-GERMINATED,0.6795850922697746,1,GERMINATED,False,FALSE_POSITIVE,zm1_1_8,0.0,0.000801282051282,0.0002649991297139,0.0010339117633014,0.0007735998574155,0.2948717948717949,0.6009615384615384,0.1057692307692307,0.1314102564102564,0.1073717948717948,0.0,1.0123456790123455,0.0138780096587588,0.014109755095332,1.0123456790123455,0
zm1_2,1,1,GERMINATED,0.391864422660228,0,NON-GERMINATED,False,FALSE_NEGATIVE,zm1_2_1,0.0,0.000801282051282,0.0002036926328539,0.000706313730975,0.0004427854848664,0.4599358974358974,0.3509615384615384,0.1277822293447293,0.1041666666666666,0.1282051282051282,0.0032051282051281,1.0483870967741935,0.0130099897728102,0.0133547008547008,1.075268817204301,0
zm1_2,3,0,NON-GERMINATED,0.4979713788658184,1,GERMINATED,False,FALSE_POSITIVE,zm1_2_3,0.0,0.000801282051282,0.0002214626596123,0.0005656074501234,0.0007414732552134,0.6185897435897436,0.3565705128205128,0.1164752492877492,0.141025641025641,0.1169871794871794,0.0064102564102564,1.0232558139534882,0.0162010998223938,0.0164981919789612,1.0825749915739804,0
zm1_2,5,0,NON-GERMINATED,0.7218157558310916,1,GERMINATED,False,FALSE_POSITIVE,zm1_2_5,0.0,0.0011331839442092,0.0002796377362368,0.0007487867752405,0.0004128213361598,0.25,0.5184294871794872,0.1356837606837606,0.1362179487179487,0.1378205128205128,0.0080128205128205,1.0625,0.018263338150157,0.018773627547666,1.1280864197530864,0
zm1_2,7,0,NON-GERMINATED,0.4340029892101517,1,GERMINATED,False,FALSE_POSITIVE,zm1_2_7,0.0,0.0017917211358171,0.0003419804114223,0.0007612537426398,0.000922828189175,0.8349358974358975,0.6458333333333334,0.1267806267806267,0.1121794871794871,0.1282051282051282,0.0112179487179487,1.0,0.0141348308290415,0.0143819855358316,1.095890410958904,0
zm1_8,3,1,GERMINATED,0.1196168650099126,0,NON-GERMINATED,False,FALSE_NEGATIVE,zm1_8_3,0.0,0.0022663678884184,0.0004807488445505,0.0012824840002571,0.0012221557971236,0.8261217948717948,0.3870192307692308,0.1302083333333333,0.1041666666666666,0.1330128205128205,0.0080128205128205,1.031746031746032,0.0133357959629994,0.0138555021367521,1.097883597883598,0
zm1_8,6,0,NON-GERMINATED,0.7056147718675768,1,GERMINATED,False,FALSE_POSITIVE,zm1_8_6,0.0,0.000801282051282,0.0002518186542686,0.0007728790747426,0.0004991911834937,0.4190705128205128,0.6073717948717948,0.1422720797720797,0.1217948717948717,0.1442307692307692,0.0064102564102563,1.0555555555555556,0.0167585801099422,0.0175665680473372,1.1046511627906976,0
zm2_1,10,0,NON-GERMINATED,0.4427851249147139,1,GERMINATED,False,FALSE_POSITIVE,zm2_1_10,0.0,0.000801282051282,0.0002771078080036,0.0007918754552715,0.0007554559628061,0.6233974358974359,0.7700320512820513,0.0947293447293447,0.1314102564102564,0.0961538461538461,0.0,1.0789473684210529,0.0123242415785484,0.0126356015779092,1.0789473684210529,0
zm2_4,10,0,NON-GERMINATED,0.7174894041142,1,GERMINATED,False,FALSE_POSITIVE,zm2_4_10,0.0,0.000801282051282,0.000325413806918,0.0005478095830768,0.0004604736659895,0.6923076923076923,0.8541666666666666,0.1100872507122507,0.1522435897435897,0.1153846153846153,0.0096153846153846,1.1046511627906974,0.0163879728933815,0.0175665680473372,1.20507399577167,0
zm2_8,8,0,NON-GERMINATED,0.8400101828644018,1,GERMINATED,False,FALSE_POSITIVE,zm2_8_8,0.0,0.000801282051282,0.0002214626596123,1.2212453270876722e-15,0.0003829382686539,0.7003205128205128,0.6546474358974359,0.1119569088319088,0.1506410256410256,0.1169871794871794,0.0096153846153846,1.0444444444444445,0.0167878291876689,0.0176230687047994,1.1379767827529024,0
zm3_9,1,0,NON-GERMINATED,0.8385513360637957,1,GERMINATED,False,FALSE_POSITIVE,zm3_9_1,0.0,0.0011331839442092,0.0003041159009482,0.0008957914401976,0.0004813819612242,0.6674679487179487,0.2203525641025641,0.0973335113960113,0.1346153846153846,0.0977564102564102,0.0032051282051282,1.135135135135135,0.0127661880090766,0.0131595167652859,1.17361429225836,0
zm3_9,3,0,NON-GERMINATED,0.4525669576645674,1,GERMINATED,False,FALSE_POSITIVE,zm3_9_3,0.0,0.000801282051282,0.0002373879207587,0.0003891940093047,0.0007779901307245,0.2548076923076923,0.296474358974359,0.1369524572649572,0.1153846153846153,0.1378205128205128,0.0048076923076923,1.0588235294117647,0.0157099293342282,0.0159023668639053,1.097094259390503,0
zm4_2,3,0,NON-GERMINATED,0.6614672695229287,1,GERMINATED,False,FALSE_POSITIVE,zm4_2_3,0.0,0.000801282051282,0.0002649991297139,0.0006005492148874,0.0004394161107193,0.7259615384615384,0.4110576923076923,0.1382434116809116,0.1121794871794871,0.1394230769230769,0.0080128205128205,1.0606060606060606,0.015313961027102,0.0156404092702169,1.125277161862528,0
zm5_5,4,0,NON-GERMINATED,0.86719153060271,1,GERMINATED,False,FALSE_POSITIVE,zm5_5_4,0.0,0.0057781270440128,0.0007251456387503,0.0009281810657938,0.0004996871510114,0.7387820512820513,0.359775641025641,0.1062143874643874,0.1474358974358974,0.1073717948717948,0.0064102564102564,1.108433734939759,0.0154599210588793,0.0158304569362261,1.1788104800152992,0
zm5_5,8,0,NON-GERMINATED,0.5339436271227842,1,GERMINATED,False,FALSE_POSITIVE,zm5_5_8,0.0,0.0035834422716342,0.00050887894409,0.0010170028268031,0.0004150653534315,0.3141025641025641,0.6402243589743589,0.1471020299145299,0.1233974358974359,0.1490384615384615,0.0080128205128205,1.0547945205479452,0.0175869710625319,0.018193211702827,1.1154148952920802,0
zm5_8,1,0,NON-GERMINATED,0.8726141274134543,1,GERMINATED,False,FALSE_POSITIVE,zm5_8_1,0.0,0.0011331839442092,0.0003166569181969,0.0004325986406155,0.0006959801065595,0.4198717948717949,0.2139423076923076,0.1068153490028489,0.1538461538461538,0.1073717948717948,0.0064102564102564,1.103448275862069,0.016292735042735,0.0165187376725838,1.1735084838533116,0
zm7_10,5,0,NON-GERMINATED,0.4927171566929395,1,GERMINATED,False,FALSE_POSITIVE,zm7_10_5,0.0,0.0011331839442092,0.000254029438731,0.0004916916407223,0.0006083355755304,0.4190705128205128,0.4399038461538461,0.1044782763532763,0.1442307692307692,0.1057692307692307,0.0064102564102564,1.0470588235294118,0.0148660221026006,0.0150856755424063,1.1146110056925995,0
zm7_10,7,1,GERMINATED,0.3630710478714699,0,NON-GERMINATED,False,FALSE_NEGATIVE,zm7_10_7,0.0,0.0011331839442092,0.0002909619545824,0.0007619855221075,0.0007747996718015,0.2524038461538461,0.5737179487179487,0.1527110042735042,0.1025641025641025,0.1538461538461538,0.0112179487179487,1.0,0.0154176525746036,0.0155325443786982,1.0786516853932586,0
zm7_10,10,0,NON-GERMINATED,0.4312722189804394,1,GERMINATED,False,FALSE_POSITIVE,zm7_10_10,0.0,0.0016025641025641,0.0003271220276152,0.001355354108586,0.0012455938547493,0.5809294871794872,0.7748397435897436,0.1161636396011396,0.1201923076923077,0.1169871794871794,0.0064102564102564,1.0563380281690142,0.0138612449434765,0.0140609590729783,1.1175750153092467,0
